Time(s),Force(N),Respiration Rate(bpm)
0.0,11.503883361816406,10.879420280456545
0.1,11.769607543945312,
0.2,12.370033264160156,
0.2999999999999999,13.123756408691406,
0.4,14.074211120605469,
0.5,15.290397644042969,
0.5999999999999999,16.475914001464844,
0.6999999999999998,17.12744140625,
0.8,17.69720458984375,
0.9,18.70132064819336,
1.0,20.00181579589844,
1.1,21.348300933837887,
1.2,22.57725524902344,
1.3,23.66312789916992,
1.4,24.347869873046875,
1.5,25.139919281005856,
1.6,26.01884078979492,
1.7,26.913089752197266,
1.8,27.700027465820312,
1.9,28.315784454345703,
2.0,28.481857299804688,
2.1,27.940200805664062,
2.2,27.291229248046875,
2.3,26.994850158691406,
2.4,26.85943603515625,
2.5,26.6499252319336,
2.6,26.320327758789062,
2.7,25.326435089111328,
2.8,23.497055053710938,
2.9,21.435169219970703,
3.0,19.39372634887696,
3.1,17.43914794921875,
3.2,15.865272521972656,
3.3,14.820274353027344,
3.4,14.076766967773438,
3.5,13.481452941894531,
3.6,13.031776428222656,
3.7,12.76605224609375,
3.8,12.689407348632812,
3.9,12.71240234375,
4.0,12.65874481201172,
4.1,12.367477416992188,
4.2,12.060874938964844,
4.3,11.930572509765623,
4.4,11.948455810546877,
4.5,12.109420776367188,
4.6,12.303596496582031,
4.7,12.541213989257812,
4.8,12.8963623046875,
4.9,13.514671325683594,
5.0,14.34760284423828,
5.1,14.89948272705078,
5.2,14.7359619140625,
5.3,14.186637878417969,
5.4,13.673080444335938,
5.5,13.126312255859377,
5.6,12.73028564453125,
5.7,12.615310668945312,
5.8,12.676628112792969,
5.9,13.187629699707031,
6.0,14.230072021484377,
6.1,15.315948486328123,
6.2,16.41204071044922,
6.3,17.748306274414062,
6.4,19.46271133422852,
6.5,20.798973083496094,
6.6,21.88740539550781,
6.7,22.689674377441406,
6.8,23.20067596435547,
6.9,23.85986328125,
7.0,24.86142349243164,
7.1,25.87064743041992,
7.2,26.373985290527344,
7.3,26.228347778320312,
7.4,25.57938003540039,
7.5,24.78988265991211,
7.599999999999999,23.74233627319336,
7.7,23.118915557861328,
7.8,22.270652770996094,
7.9,21.407066345214844,
8.0,20.548583984375,
8.099999999999998,19.406497955322266,
8.199999999999998,17.929710388183594,
8.3,16.435035705566406,
8.4,15.26740264892578,
8.5,14.60565185546875,
8.599999999999998,14.224960327148438,
8.699999999999998,14.002677917480469,
8.8,13.708847045898438,
8.9,13.402252197265623,
9.0,13.261726379394531,
9.1,13.151863098144531,
9.2,13.031776428222656,
9.3,13.02155303955078,
9.4,13.13397216796875,
9.5,13.013893127441406,
9.6,12.76860809326172,
9.7,12.76605224609375,
9.8,12.904022216796877,
9.9,13.049659729003906,
10.0,13.162078857421877,6.43776798248291
10.1,13.305160522460938,
10.2,13.399696350097656,
10.3,13.471237182617188,
10.4,14.099761962890623,
10.5,15.579109191894531,
10.6,17.16576385498047,
10.7,18.38705444335937,
10.8,19.7360954284668,
10.9,20.63290023803711,
11.0,21.36618423461914,
11.1,22.229774475097656,
